AL;Alabama;0.040
AK;Alaska;0.000
AZ;Arizona;0.066
AR;Arkansas;0.060
CA;California;0.075
CO;Colorado;0.029
CT;Connecticut;0.064
DE;Delaware;0.000
DC;District of Columbia;0.060
FL;Florida;0.060
GA;Georgia;0.040
HI;Hawaii;0.040
ID;Idaho;0.060
IL;Illinois;0.063
IN;Indiana;0.070
IA;Iowa;0.060
KS;Kansas;0.063
KY;Kentucky;0.060
LA;Louisiana;0.040
ME;Maine;0.050
MD;Maryland;0.060
MA;Massachusetts;0.063
MI;Michigan;0.060
MN;Minnesota;0.069
MS;Mississippi;0.070
MO;Missouri;0.042
MT;Montana;0.000
NE;Nebraska;0.055
NV;Nevada;0.069
NH;New Hampshire;0.000
NJ;New Jersey;0.070
NM;New Mexico;0.051
NY;New York;0.040
NC;North Carolina;0.048
ND;North Dakota;0.050
OH;Ohio;0.058
OK;Oklahoma;0.045
OR;Oregon;0.000
PA;Pennsylvania;0.060
RI;Rhode Island;0.070
SC;South Carolina;0.060
SD;South Dakota;0.040
TN;Tennessee;0.070
TX;Texas;0.063
UT;Utah;0.047
VT;Vermont;0.060
VA;Virginia;0.053
WA;Washington;0.065
WV;West Virginia;0.060
WI;Wisconsin;0.050
WY;Wyoming;0.040
